                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2011


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   18.7   25.7  13:29    8.7  01:46    0.0    0.7    0.0   14.1   35.4  10:19    288
 02   18.1   24.7  15:26   12.9  22:21    0.4    0.0    0.0    9.8   33.8  02:21    296
 03   19.7   25.3  14:37   13.7  00:39    0.0    2.4    0.0   13.3   35.4  19:27    288
 04   17.7   24.1  10:38   11.3  23:31    1.2    0.0    0.0   10.2   37.0  02:08    115
 05   12.4   16.7  14:29   10.2  23:53   10.6    0.0    1.2    5.9   20.9  16:57    145
 06   10.5   12.7  12:08    9.7  03:52   14.0    0.0   33.0    7.5   24.1  11:56    165
 07    9.3   11.2  14:15    8.1  22:01   16.2    0.0   16.0    8.4   24.1  10:12    149
 08    9.7   12.6  19:07    7.7  05:52   15.5    0.0    0.6    4.0   14.5  13:40     64
 09   12.5   19.4  14:18    4.1  05:59   10.5    0.0    0.0    6.0   25.7  16:25    360
 10   13.5   17.3  15:17   10.9  04:34    8.8    0.0    0.0    8.2   27.4  15:54      4
 11   14.0   18.8  15:17   11.2  02:31    7.8    0.0    0.0   10.3   25.7  11:10    357
 12   17.5   24.2  12:33   11.7  03:58    1.4    0.0    0.0    9.9   35.4  13:14    317
 13   20.5   25.3  14:18   14.4  23:23    0.0    4.0    0.0    6.5   20.9  15:35     51
 14   17.7   22.1  16:14   13.2  04:58    1.1    0.0    0.0    7.0   22.5  23:54    344
 15   18.1   21.2  02:30   11.8  23:42    0.4    0.0    4.8    8.2   32.2  01:32    322
 16    9.6   11.8  00:01    7.7  23:30   15.7    0.0   38.6    8.9   27.4  18:26    152
 17    9.4   13.7  15:30    6.9  03:46   16.1    0.0    0.0    5.9   19.3  11:59    136
 18    9.4   12.8  15:17    7.2  05:19   16.0    0.0    1.4    3.8   16.1  12:43    115
 19   10.2   15.6  16:17    5.8  23:35   14.6    0.0    0.4    3.2   12.9  13:05     99
 20   11.2   18.8  15:34    3.1  05:30   12.8    0.0    0.0    4.2   22.5  17:50     43
 21   13.4   19.3  15:57    9.6  23:40    8.9    0.0    0.0    5.7   17.7  14:39    347
 22   14.0   21.7  15:35    9.2  00:47    7.8    0.0    0.0    4.7   19.3  16:49    354
 23   14.6   21.2  14:15    8.4  06:03    6.7    0.0    0.0    5.3   19.3  18:00      2
 24   15.2   21.3  14:46   10.1  06:01    5.7    0.0    0.0    6.3   22.5  17:05    356
 25   15.9   22.8  14:19   11.1  06:07    4.4    0.0    0.0    5.8   20.9  14:04    354
 26   16.5   23.7  15:43   12.2  02:53    3.3    0.0    0.0    5.2   19.3  16:19    352
 27   19.4   27.6  14:24    8.7  06:12    0.0    1.9    0.0    7.6   29.0  16:09    331
 28   19.2   25.2  13:31   14.7  06:45    0.0    1.6    0.0    7.8   24.1  03:00    309
 29   17.5   20.6  11:48   11.9  06:03    1.6    0.0    0.2    7.4   22.5  15:41    285
 30   11.7   14.2  00:01    9.7  23:40   12.0    0.0    2.2    4.7   22.5  00:54    134
 31   12.5   16.8  13:45    8.4  02:00   10.6    0.0    0.0    3.3   17.7  16:41    343
---------------------------------------------------------------------------------------
      14.5   27.6     27    3.1     20  224.0   10.6   98.4    7.1   37.0     04    338
    
