                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2016


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   16.7   23.8  16:47    9.6  04:49    3.0    0.0    0.2    4.8   20.9  10:14     31
 02   20.2   29.0  13:18   11.1  04:54    0.0    3.3    0.0    3.4   19.3  15:24     73
 03   17.4   25.1  16:47    9.7  05:16    1.6    0.0    0.0    5.6   30.6  14:03     27
 04   23.5   28.4  15:17   17.2  00:00    0.0    9.3    0.0   11.3   46.7  13:39    301
 05   16.4   20.7  02:22   13.1  23:09    3.5    0.0    0.0    6.2   27.4  01:10    181
 06   14.5   21.5  13:31    9.0  06:51    6.9    0.0    3.8    3.7   19.3  14:32    105
 07   14.5   17.8  17:24   11.7  00:00    6.9    0.0    1.8    5.8   20.9  14:20     44
 08   16.4   21.4  15:39   12.7  07:15    3.5    0.0    0.0    4.7   22.5  15:03     44
 09   14.4   21.2  16:59   10.9  23:40    7.1    0.0    1.8    3.5   33.8  17:41    156
 10   14.6   20.1  14:54    8.1  06:54    6.7    0.0    0.2    6.4   29.0  16:35     29
 11   16.8   23.9  14:42    9.9  06:59    2.8    0.0    0.0    4.0   17.7  17:29    121
 12   17.8   24.9  15:11   13.7  07:51    1.0    0.0    0.0    4.4   20.9  15:13     57
 13   16.7   21.2  14:59   13.8  04:09    2.9    0.0    0.2    3.7   17.7  19:36     91
 14   18.1   24.6  15:46   12.1  07:35    0.5    0.0    0.0    6.3   24.1  15:25     27
 15   21.8   28.5  16:02   13.5  01:07    0.0    6.2    0.0    8.8   32.2  23:43    312
 16   23.5   29.1  18:13   18.8  05:51    0.0    9.4    0.0   11.1   38.6  15:18    311
 17   21.2   25.9  12:12   17.0  22:55    0.0    5.1    3.6   10.2   41.8  05:58    356
 18   18.5   22.7  14:09   15.7  05:02    0.0    0.3    3.8   16.0   61.2  13:31    329
 19   18.3   23.8  15:41   13.6  07:26    0.0    0.0    0.0   14.6   56.3  05:48    300
 20   20.9   27.4  17:37   13.2  23:46    0.0    4.6    0.0   12.9   38.6  14:26    300
 21   15.8   22.6  15:19    8.3  07:08    4.6    0.0    0.0    6.8   27.4  10:21     47
 22   14.3   21.6  15:53    6.8  03:53    7.3    0.0    0.0    5.1   24.1  16:58     45
 23   15.7   20.8  17:52   13.4  00:00    4.8    0.0    1.4    4.0   19.3  22:11     26
 24   20.2   28.1  16:11   11.9  05:07    0.0    3.3    0.2   12.0   40.2  16:49    316
 25   21.7   30.1  12:41   15.4  22:53    0.0    6.0    0.0   12.4   45.1  12:30    308
 26   24.5   30.1  12:10   21.2  08:15    0.0   11.1    0.0   15.2   40.2  00:41    308
 27   22.9   30.7  14:38   13.1  07:48    0.0    8.2    0.0   10.7   48.3  15:14    289
 28   17.3   22.9  15:09   10.0  05:43    1.8    0.0    0.0    9.0   37.0  22:55     12
 29   12.7   19.4  04:34    7.9  13:03   10.1    0.0    3.2    8.1   43.5  06:18    197
---------------------------------------------------------------------------------------
      18.2   30.7     27    6.8     22   75.1   66.9   20.2    8.0   61.2     18    334
    

