                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2013


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   19.8   25.8  13:08   10.8  02:36    0.0    2.6    0.0   11.3   35.4  14:44    324
 02   17.0   20.4  16:49   11.3  23:58    2.4    0.0    9.4   16.4   49.9  12:39    316
 03   12.3   19.7  13:32    5.2  04:36   10.9    0.0    4.4    8.9   29.0  01:50    310
 04   13.6   21.1  15:22    4.9  06:09    8.5    0.0    0.0    7.4   27.4  16:07     38
 05   19.4   29.8  15:55    8.8  02:56    0.0    1.8    0.0   10.7   21.4  12:10      7
 06   16.1   20.7  07:11   13.0  23:51    4.1    0.0    0.0    6.8   32.2  08:12    139
 07   13.9   25.9  13:49    9.1  00:00    7.9    0.0    2.8    7.3   33.8  13:54     79
 08   13.7   20.2  14:00    8.6  00:47    8.3    0.0    0.6    8.1   27.4  17:23     88
 09   20.6   27.8  13:55   10.3  00:07    0.0    4.2    0.0   21.3   53.1  22:25    321
 10   21.8   25.3  15:36   16.9  23:15    0.0    6.3    0.2   20.9   72.4  01:35    294
 11   18.9   26.1  14:31   11.0  01:57    0.0    1.1    0.0    8.7   27.4  19:07    322
 12   22.0   30.8  14:08   14.8  00:05    0.0    6.5    0.0   14.4   38.6  16:27    305
 13   23.0   30.3  17:09   13.2  23:55    0.0    8.5    0.0   17.2   48.3  15:09    309
 14   14.0   17.3  12:12    9.5  06:19    7.8    0.0    0.0    4.3   14.5  12:56     32
 15   12.0   13.0  15:48   10.0  23:56   11.5    0.0   16.4    4.9   20.9  16:04    138
 16   13.8   20.3  17:17    6.8  03:53    8.1    0.0    0.0    6.9   17.7  12:43     32
 17    9.1   13.7  05:26    4.8  23:03   16.6    0.0   18.8    6.4   25.7  15:51    239
 18   10.1   16.4  15:59    3.1  05:58   14.7    0.0    0.2    8.0   22.5  16:30    116
 19   17.2   28.2  14:40    9.4  03:00    2.0    0.0    0.0   18.0   38.6  10:23    304
 20   15.3   26.2  16:34    4.7  06:16    5.5    0.0    0.0    8.2   29.0  18:24    333
 21   13.4   20.6  15:24    5.3  05:23    8.8    0.0    0.0    6.9   20.9  15:27     50
 22   15.9   24.1  15:42    5.2  05:45    4.4    0.0    0.2    6.8   20.9  23:13     24
 23   23.1   28.7  15:17   18.6  22:35    0.0    8.5    0.0   15.3   30.6  11:51    307
 24   14.0   20.6  01:46   10.1  00:00    7.8    0.0    0.0    7.2   20.9  03:21    171
 25   13.1   20.5  14:45    3.9  05:26    9.4    0.0    0.0   10.1   27.4  16:01     45
 26   15.4   22.8  14:37    8.9  03:22    5.2    0.0    0.0   10.9   22.5  16:52     45
 27   18.0   27.5  15:55   10.2  23:51    0.6    0.0    0.0    6.5   17.7  14:59     58
 28   17.2   26.7  14:24    7.6  06:46    2.1    0.0    0.2    5.9   17.7  14:46     49
 29   17.6   25.2  16:21   13.6  03:42    1.4    0.0    0.0    5.4   24.1  17:49     75
 30   19.0   27.7  16:25   13.5  07:28    0.0    1.1    0.0    6.6   19.3  17:08     25
 31   24.0   32.0  14:02   14.5  06:51    0.0   10.2    0.0   11.1   27.4  14:26     22
---------------------------------------------------------------------------------------
      16.6   32.0     31    3.1     18  148.0   50.8   53.2   10.0   72.4     10    343
    
