                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2013


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   11.2   20.1  12:13    3.2  03:52   12.8    0.0    0.0    8.6   27.4  08:53    227
 02   14.0   23.2  15:29    4.6  04:23    7.7    0.0    0.0    5.7   16.1  17:36     64
 03   16.5   23.9  16:22   10.5  06:14    3.4    0.0    0.0    7.0   17.7  13:40     49
 04   16.2   23.6  13:43   11.3  02:58    3.8    0.0    0.0    5.9   19.3  14:45     76
 05   16.2   24.1  14:58   11.7  01:16    3.9    0.0    0.0    6.0   20.9  15:22     82
 06   21.1   28.0  15:07   12.1  03:32    0.0    5.0    0.0   12.8   38.6  20:24    323
 07   18.7   22.4  10:28   12.9  23:31    0.0    0.7    0.0   18.1   43.5  08:06    321
 08   13.9   21.5  12:14   10.7  23:57    7.9    0.0   36.0    6.9   20.9  12:34    218
 09   13.5   19.0  14:53    9.1  05:19    8.6    0.0    1.0    4.6   14.5  01:14    165
 10   14.5   19.7  14:32   11.9  03:57    6.9    0.0    0.6    6.7   22.5  15:53     57
 11   16.7   23.2  15:54   13.0  06:48    3.0    0.0    0.2    8.6   25.7  16:38     38
 12   17.6   25.4  15:07   11.2  06:25    1.3    0.0    0.0   12.2   27.4  14:35    349
 13   15.9   25.6  15:58   10.2  23:53    4.4    0.0    0.6    5.9   22.5  16:12    188
 14   15.9   21.9  15:52    9.6  00:30    4.5    0.0    0.0    6.8   20.9  13:37     47
 15   16.8   20.8  16:46   12.8  06:22    2.7    0.0    0.0    8.1   17.7  20:19    145
 16   16.4   21.6  18:13   13.2  01:27    3.5    0.0    7.0    6.6   19.3  18:14     65
 17   11.6   13.6  00:01    9.8  08:37   12.2    0.0    9.2    6.2   24.1  02:52    154
 18   14.5   21.6  14:30    7.4  04:20    6.9    0.0    4.6    9.3   22.5  17:00     31
 19   10.7   14.3  16:00    8.4  23:24   13.8    0.0    7.8    4.7   20.9  00:01    148
 20   14.6   23.2  14:41    4.6  06:03    6.7    0.0    0.0   10.3   24.1  17:16     19
 21   14.8   21.8  03:35    7.8  22:32    6.3    0.0   10.2   14.4   45.1  09:10    283
 22   10.7   15.9  13:42    6.6  06:33   13.7    0.0    0.2    5.6   19.3  00:16    102
 23   13.9   21.5  14:39    5.8  05:55    8.0    0.0    0.0    7.5   22.5  10:13     29
 24   17.4   24.4  16:19   11.7  01:05    1.6    0.0    0.0   10.8   35.4  13:52    344
 25   15.5   21.1  10:20   11.2  23:14    5.0    0.0   23.4    6.8   24.1  12:26    186
 26   12.7   16.4  19:01   10.7  06:30   10.2    0.0    3.6   10.1   27.4  08:49    204
 27   13.0   15.4  12:32   11.2  07:08    9.6    0.0    2.0    6.8   17.7  15:23    168
 28   13.7   16.7  18:19   11.7  05:40    8.3    0.0   10.8    5.0   16.1  22:49    154
 29   16.0   19.2  16:20   14.7  00:09    4.1    0.0    8.2    8.2   17.7  02:07     65
 30   17.0   22.5  13:38   13.4  22:41    2.5    0.0    1.4   10.8   30.6  19:23    338
 31   15.1   20.4  14:17    6.8  05:49    5.8    0.0    0.0    9.7   25.7  14:31    298
---------------------------------------------------------------------------------------
      15.0   28.0     06    3.2     01  189.1    5.7  126.8    8.3   45.1     21     14
    
