                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2013


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    7.8   13.5  13:26    2.2  03:31   19.0    0.0    0.2    7.7   19.3  08:30    356
 02    9.4   13.4  12:00    6.1  21:52   16.1    0.0    1.6    7.6   22.5  08:00    294
 03    8.1   12.3  13:37    6.1  04:30   18.4    0.0    1.8    5.0   17.7  14:51      7
 04   13.2   20.1  12:12    4.6  05:29    9.3    0.0    0.2   11.5   27.4  21:55    343
 05   12.5   16.1  00:01    7.6  23:56   10.4    0.0    3.4   11.4   25.7  22:54    199
 06    5.8    7.6  00:01    4.9  23:27   22.6    0.0   19.2   17.2   40.2  01:12    213
 07    5.9   13.6  15:27    0.5  22:41   22.3    0.0    0.0    2.3    9.7  10:45    302
 08    7.0   13.2  14:12    1.7  00:01   20.4    0.0    0.0    4.2   16.1  11:58     20
 09    8.4   16.4  13:59    0.4  04:56   17.9    0.0    0.2    7.6   35.4  18:12    306
 10    6.0   12.7  00:01    2.2  19:57   22.2    0.0    5.0   11.4   32.2  02:53    191
 11    7.0   13.6  15:38    0.4  03:34   20.3    0.0    0.0    3.4    8.0  02:15    288
 12   13.8   22.8  15:00    5.7  00:00    8.1    0.0    0.0    6.1   16.1  11:17    303
 13    8.6    9.8  12:31    5.7  00:01   17.5    0.0    0.2    5.1   14.5  12:40     25
 14    9.0   14.4  14:04    4.8  21:34   16.8    0.0    0.0    6.1   14.5  04:58     10
 15   10.4   15.1  14:03    5.8  19:52   14.2    0.0    0.0    3.7   14.5  15:59    319
 16   10.4   16.1  21:25    6.6  03:57   14.3    0.0    0.0    7.3   22.5  21:16    354
 17   13.7   16.5  12:02    9.8  23:10    8.4    0.0    6.6    6.3   29.0  02:00    328
 18   10.1   11.6  13:09    9.3  07:22   14.9    0.0    0.8    9.1   22.5  15:27    222
 19    9.6   10.4  13:53    8.3  23:16   15.6    0.0   16.6    3.6   11.3  06:41    180
 20    8.8   12.4  13:58    4.6  08:12   17.2    0.0    0.2    2.7    9.7  11:39     40
 21    9.8   11.6  12:48    8.1  23:51   15.4    0.0    7.2    3.2   16.1  21:11     51
 22    8.7   12.3  13:21    5.3  07:44   17.3    0.0    0.4    1.6   16.1  22:42    216
 23    7.6   10.4  13:59    4.4  21:46   19.4    0.0    3.8    7.8   25.7  01:12    203
 24    6.0    9.8  14:06    2.9  05:45   22.2    0.0    0.0    4.9   14.5  22:29      0
 25   10.4   16.3  12:26    0.9  05:57   14.3    0.0    0.0   12.8   29.0  19:35    330
 26   12.5   17.6  12:13    8.0  04:31   10.4    0.0    0.0   15.3   53.1  12:35    287
 27    5.3   10.1  00:14    1.9  20:18   23.4    0.0    1.6    6.9   25.7  07:35    266
 28    2.7    5.7  12:26   -0.3  03:29   28.2    0.0    0.0   10.1   32.2  11:29    203
 29    5.9   11.6  14:46    1.4  07:59   22.3    0.0    0.0    6.4   19.3  00:19    261
 30    8.0   13.1  14:45    4.2  04:07   18.7    0.0    0.0   12.7   29.0  23:30    309
 31   11.8   16.3  13:08    8.3  00:58   11.8    0.0    0.0   13.9   29.0  07:07    308
---------------------------------------------------------------------------------------
       8.8   22.8     12   -0.3     28  529.7    0.0   69.0    7.6   53.1     26    290
    
