                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2011


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   22.9   27.4  13:00   13.9  00:06    0.0    8.2    0.0   23.8   49.0  22:59    340
 02   22.0   26.9  09:37   12.3  22:06    0.0    6.7    0.0   31.7   66.2  13:05    310
 03   20.7   24.2  15:02   11.3  06:37    0.0    4.2    0.0   27.0   46.4  17:56    325
 04   21.0   28.4  12:45   10.2  23:17    0.0    4.7    0.0   18.1   56.2  12:40    267
 05   12.0   29.1  10:07    7.4  23:37   11.3    0.0   15.0   14.5   35.6  11:21    163
 06    7.9   15.6  17:38    6.2  06:37   18.7    0.0    0.6    4.8   31.7  14:38    203
 07   12.5   17.3  15:51    5.2  01:37   10.5    0.0    0.0    8.6   23.4  12:29    126
 08   16.2   20.0  14:40    7.2  04:07    3.9    0.0    0.0    8.1   28.1  15:20    130
 09   18.6   20.1  15:23    5.5  07:07    0.0    0.6    0.9   10.6   37.9  20:13     52
 10   18.2   21.8  16:37   10.5  07:08    0.3    0.0    0.0   15.0   22.0  11:32     18
 11   16.6   18.7  09:09   12.6  02:39    3.1    0.0    1.5    6.4   19.4  11:12    168
 12   14.3   16.1  13:40   12.3  07:08    7.2    0.0    1.2    8.8   17.3  15:16     55
 13   18.4   23.7  15:14   12.2  07:08    0.0    0.1    0.0   12.7   24.5  23:44     31
 14   22.3   27.4  16:01   15.7  00:00    0.0    7.1    0.0   20.9   49.0  10:59    323
 15   14.4   17.9  13:56   10.5  23:47    7.0    0.0    5.1   12.8   28.1  14:05    175
 16   16.7   20.1  14:08    7.8  07:38    2.9    0.0    0.0   15.5   33.1  21:50      6
 17   18.4   19.7  12:48   12.8  10:38    0.0    0.1    0.0    9.4   23.4  04:08    209
 18   19.6   24.9  15:10    9.6  06:09    0.0    2.2    0.0   21.2   41.8  20:25    326
 19   12.1   17.9  02:40    8.8  07:40   11.2    0.0    0.3   11.8   24.5  13:33     49
 20   14.0   17.1  15:51    9.2  08:10    7.9    0.0    0.6    7.3   15.8  11:18    123
 21   14.6   19.7  13:55   11.3  04:40    6.7    0.0    0.3    5.8   23.4  19:36     55
 22   14.8   17.9  12:58   10.3  07:39    6.4    0.0    2.1    8.7   31.7  18:58    163
 23   11.4   16.8  14:09    7.6  22:14   12.5    0.0    0.3    7.6   23.4  14:14    177
 24   15.0   17.6  15:23    4.3  05:09    6.0    0.0    0.3   13.7   27.0  14:27     37
 25   15.6   19.7  14:27    5.1  07:39    4.9    0.0    0.0   14.9   28.1  17:07     39
 26   20.3   28.7  17:18    9.0  07:39    0.0    3.6    0.0    8.1   19.4  12:42    321
 27   13.8   19.6  17:07    7.3  23:58    8.2    0.0   12.9   14.6   61.2  18:27    144
 28   13.8   19.5  16:05    4.9  04:40    8.1    0.0    0.0   12.5   27.0  18:22     36
 29   17.0   25.5  15:57    5.5  04:40    2.4    0.0    0.0    8.7   28.1  18:18    126
 30   19.3   20.3  13:55   15.8  09:41    0.0    1.7    0.0   15.1   20.9  13:01     67
 31   18.3   23.1  14:42    8.9  05:41    0.1    0.0    0.0   17.8   25.6  14:42     52
---------------------------------------------------------------------------------------
      16.6   29.1     05    4.3     24  139.3   39.2   41.1   13.1   66.2     02     11
    
