                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2012


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   11.5   18.3  14:00    3.5  04:26   12.3    0.0    0.0    6.2   16.1  15:22    345
 02   11.6   19.6  15:15    2.8  07:06   12.1    0.0    0.2    5.6   16.4  16:28    351
 03   10.1   16.7  16:31    2.3  04:36   14.9    0.0    0.4    3.1   11.3  19:48    354
 04   11.6   17.0  14:39    7.0  23:58   12.2    0.0    0.0    4.4   17.7  14:43    357
 05   10.7   18.8  14:26    5.3  04:12   13.7    0.0    0.2    5.5   19.3  11:23    335
 06   10.9   20.9  14:40    2.2  07:10   13.4    0.0    0.0    2.2    9.7  14:24     57
 07   11.4   18.5  14:39    3.6  06:18   12.5    0.0    0.2    9.5   20.9  13:16    335
 08   13.5   23.2  13:30    6.3  07:35    8.7    0.0    0.0    5.9   17.7  01:02    330
 09   14.1   19.5  14:28    8.3  00:04    7.5    0.0    0.0    7.8   32.2  23:51    330
 10   15.5   22.7  11:28    8.8  23:57    5.1    0.0    5.0   10.7   43.5  00:08    266
 11    8.1    8.9  00:08    6.8  22:54   18.4    0.0   28.4    5.4   17.7  10:22    134
 12    9.0   14.3  12:25    5.0  07:15   16.7    0.0    0.0    3.0   12.9  12:27    299
 13   13.8   23.6  15:01    7.1  23:40    8.1    0.0    0.0    8.6   27.4  10:15    272
 14    9.4   13.4  13:47    5.2  03:19   16.0    0.0    0.6    4.7   12.9  23:40     13
 15   11.1   19.5  14:23    5.8  05:42   13.1    0.0    0.2    7.5   19.3  08:15    345
 16   12.5   21.3  14:43    5.9  06:48   10.5    0.0    0.0    3.9   14.5  23:26    304
 17    9.1   11.8  08:05    7.2  23:37   16.6    0.0    1.8    5.9   22.5  12:10    156
 18    8.7   14.7  14:17    3.4  23:59   17.3    0.0    0.0    3.2   14.5  14:27    177
 19    9.1   15.8  13:14    3.2  00:50   16.5    0.0    0.0    3.3   12.9  15:02      9
 20   10.3   16.2  13:57    5.5  06:51   14.4    0.0    0.0    4.1   17.7  13:20    346
 21    9.7   18.4  13:00    2.2  04:58   15.6    0.0    0.2    3.6   12.9  15:39    343
 22   10.1   16.3  14:25    5.7  04:03   14.8    0.0    0.0    5.8   17.7  10:10    347
 23   13.5   19.9  14:57    7.8  00:25    8.6    0.0    0.0    8.0   22.5  11:34    302
 24   15.1   21.2  14:44    7.2  00:00    5.8    0.0    0.0   11.7   27.4  00:12    277
 25   14.4   21.1  15:04    6.2  00:11    7.2    0.0    0.0    8.2   25.7  03:58    283
 26   14.2   20.0  14:01   10.4  04:32    7.4    0.0    0.0   10.9   33.8  07:56    280
 27   14.0   20.2  13:07   10.0  22:16    7.8    0.0    1.0   10.9   35.4  13:01    309
 28   11.6   15.8  15:18    7.4  23:02   12.2    0.0    0.2    5.7   17.7  21:54    330
 29   13.3   18.8  15:58    6.0  02:41    9.0    0.0    5.0   18.4   61.2  18:24    293
 30    9.6   14.8  13:58    5.9  07:55   15.7    0.0    0.0   11.8   43.5  17:48    261
---------------------------------------------------------------------------------------
      11.6   23.6     13    2.2     06  364.3    0.0   43.4    6.9   61.2     29    308
    
