                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2013


NAME: Darfield, Canterbury, New Zealand                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    7.8   14.1  16:23    3.7  18:51   18.9    0.0   13.2    7.6   24.9  19:07     94
 02   10.1   17.2  15:48    1.6  05:59   14.9    0.0    0.0    7.3   19.3  17:56     20
 03   11.4   16.3  13:19    7.1  01:22   12.4    0.0    0.0   10.4   29.0  16:47     43
 04   15.2   21.5  16:14    7.6  02:25    5.7    0.0    0.0   12.7   29.0  13:53    321
 05   15.1   20.9  14:30    8.4  00:26    5.9    0.0    0.0    8.6   27.4  17:04    273
 06   10.4   13.0  15:20    7.4  21:24   14.2    0.0    0.2    6.9   17.7  01:55    173
 07   12.7   19.7  15:11    6.7  06:17   10.2    0.0    0.0    8.7   25.7  18:14     39
 08   11.7   17.5  10:55    9.0  06:34   11.9    0.0    0.0    7.4   20.9  11:11    206
 09   11.0   14.6  15:34    8.8  06:51   13.3    0.0    2.2    6.6   20.9  22:01     49
 10   17.2   25.6  17:27    9.0  03:15    2.0    0.0    0.0   13.5   43.5  13:53    294
 11    9.9   11.7  14:34    7.7  06:28   15.3    0.0    0.0    4.5   19.3  00:43    180
 12    9.9   14.1  17:28    5.3  23:57   15.1    0.0    0.2    3.4   14.5  17:38     83
 13    9.8   16.7  14:44    2.4  05:40   15.4    0.0    0.2    8.3   22.5  11:23     39
 14   10.5   17.0  13:36    3.6  05:31   14.0    0.0    0.0    9.2   22.5  15:05     38
 15   11.7   17.9  13:37    5.8  06:07   11.9    0.0    0.2    9.5   22.5  23:37     35
 16   17.9   24.4  17:23   11.7  22:19    0.8    0.0    0.0   13.5   33.8  10:48    287
 17   12.8   17.3  16:45    9.3  05:26    9.9    0.0    0.0    6.4   20.9  13:09     53
 18   14.4   20.1  15:13   11.2  01:09    7.1    0.0    0.0    5.4   17.7  17:32     69
 19   13.8   18.4  15:27   10.0  01:21    8.2    0.0    0.0   10.2   32.2  17:08     45
 20   16.4   23.0  14:33   11.3  06:25    3.4    0.0    0.0   11.1   22.5  17:30     27
 21   15.9   24.0  10:29   11.3  23:23    4.4    0.0    0.6    8.6   30.6  10:41    204
 22   11.5   13.3  15:05   10.2  04:35   12.4    0.0    3.8    7.6   19.3  19:20     58
 23   14.9   19.6  13:45   11.4  05:33    6.3    0.0    0.0    6.3   16.1  15:46     41
 24   18.4   26.2  12:30   10.5  05:53    0.0    0.1    0.0    8.2   22.5  21:17    346
 25   12.2   19.4  01:32    8.2  20:37   11.1    0.0    7.2    9.6   32.2  01:48    213
 26    8.9   10.7  15:12    7.5  04:55   17.0    0.0    4.8    3.5    9.7  12:34    133
 27   10.1   12.9  17:09    7.9  03:37   14.8    0.0    3.6    7.8   22.5  16:20     61
 28   12.0   15.5  14:23    9.5  23:48   11.5    0.0    4.0    6.1   17.7  13:45     35
 29   16.0   23.4  12:33    6.2  03:45    4.2    0.0    0.2   10.3   35.4  22:16    327
 30   13.8   18.9  13:29    4.2  23:57    8.1    0.0    1.0   12.0   41.8  01:47    273
---------------------------------------------------------------------------------------
      12.8   26.2     24    1.6     02  300.2    0.1   41.4    8.4   43.5     10     20
    
