                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2015


NAME: Darfield Weather Station                  
ELEV: 210 meters    LAT: 43-29.00 S    LONG: 172-04.10 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   19.7   29.3  15:55    8.5  05:36    0.0    2.4    0.0    7.5   32.2  16:58    346
 02   21.7   27.6  12:33   14.9  23:58    0.0    6.1    0.0   10.1   37.0  12:38    296
 03   15.3   19.2  15:01   13.3  09:21    5.5    0.0    1.8    4.8   24.1  14:46     60
 04   16.8   23.6  17:09   13.6  00:00    2.8    0.0    0.6    4.9   27.4  18:14     56
 05   21.8   29.1  15:58   13.3  02:03    0.0    6.3    0.0   10.5   41.8  17:34    333
 06   18.6   23.1  16:30   15.0  12:34    0.0    0.4   11.4   11.1   54.7  01:07    319
 07   14.9   20.6  15:41   10.8  22:45    6.1    0.0    5.2    8.3   35.4  21:38    342
 08   13.3   17.9  12:54   11.1  07:36    9.0    0.0    2.8    5.4   25.7  12:56    164
 09   14.2   21.0  14:15    8.4  07:56    7.4    0.0    0.0    6.3   27.4  16:17     42
 10   16.0   23.7  16:37   11.1  03:42    4.2    0.0    0.0    4.1   22.5  16:58     47
 11   14.1   18.2  17:29   11.7  08:51    7.7    0.0    0.4    5.0   24.1  07:04    135
 12   14.6   20.9  15:31   10.9  08:24    6.7    0.0    0.0    8.7   24.1  12:23     21
 13   18.2   26.7  14:15   11.6  07:10    0.3    0.0    0.6    8.3   40.2  19:30    315
 14   12.5   16.3  14:46    9.8  04:42   10.5    0.0    2.4    7.1   32.2  18:03     46
 15   15.1   22.4  13:21    9.6  08:23    5.8    0.0    0.2    8.1   25.7  15:49     37
 16   11.6   15.1  00:02    8.1  21:53   12.1    0.0   11.2    5.6   29.0  08:52    189
 17    8.8   12.5  15:12    5.9  08:22   17.2    0.0    2.0    6.9   29.0  16:33    174
 18    9.0   13.6  14:13    3.9  07:07   16.8    0.0    0.6    6.9   32.2  14:17    162
 19    9.3   13.2  15:42    6.4  07:10   16.3    0.0    0.2    4.4   27.4  13:29    172
 20   10.9   15.6  15:14    5.9  07:59   13.4    0.0    0.0    7.1   30.6  17:16     32
 21   15.7   24.2  15:40    7.7  05:41    4.7    0.0    0.0    9.2   35.4  14:50    348
 22   11.5   15.7  00:08    9.7  23:31   12.3    0.0    7.0    5.3   22.5  01:31    162
 23   11.3   14.0  16:46    9.2  07:12   12.6    0.0    0.2    2.8   16.1  17:48     61
 24   16.6   24.9  15:51    9.4  08:03    3.1    0.0    0.0    7.0   27.4  15:57    329
 25   16.9   22.6  15:22   11.7  06:14    2.6    0.0    0.0    5.4   24.1  15:49    326
 26   13.4   18.9  14:34    8.8  06:34    9.0    0.0    0.0    2.5   16.1  15:08    161
 27   12.9   20.1  14:06    7.0  05:58    9.8    0.0    0.0    5.9   24.1  16:44     32
 28   14.7   20.4  16:35   10.5  04:14    6.5    0.0    0.0    7.7   27.4  14:32     18
 29   15.5   19.8  13:24   10.2  23:58    5.1    0.0    1.6    6.5   35.4  07:54    308
 30   13.4   17.6  14:56    9.3  00:46    8.9    0.0    0.2    4.5   19.3  14:05     53
 31   13.3   18.7  15:35    9.4  01:03    9.0    0.0    0.0    2.7   16.1  17:09     65
---------------------------------------------------------------------------------------
      14.6   29.3     01    3.9     18  225.5   15.2   48.4    6.5   54.7     06      7
    

